City_ID,City,Country,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,Date
273,Inhambane,MZ,69.22,-23.865,35.3833,90,1,10.18,2022-09-18 02:03:11
274,Dnestrovsc,MD,64.44,46.6222,29.9133,94,100,8.37,2022-09-18 02:03:11
275,Loandjili,CG,73.83,-4.7561,11.8578,88,93,2.37,2022-09-18 02:03:12
276,Padang,ID,77.05,-0.9492,100.3543,84,100,3.78,2022-09-18 02:03:12
277,Hirara,JP,80.64,24.8,125.2833,83,40,24.81,2022-09-18 02:00:11
278,Mahebourg,MU,70.25,-20.4081,57.7,76,23,15.68,2022-09-18 02:03:13
279,Touros,BR,76.6,-5.1989,-35.4608,82,7,13.0,2022-09-18 02:04:13
280,Cuenca,EC,53.38,-2.8833,-78.9833,92,57,2.44,2022-09-18 02:02:48
281,Houma,US,78.01,29.5958,-90.7195,92,100,1.99,2022-09-18 02:04:14
282,Taoudenni,ML,88.95,22.6783,-3.9836,18,0,9.86,2022-09-18 02:04:14
283,Rio Claro,BR,56.01,-22.4114,-47.5614,64,0,11.12,2022-09-18 02:04:15
284,San Ramon,US,64.81,37.7799,-121.978,75,20,14.97,2022-09-18 02:04:15
285,Sibolga,ID,77.5,1.7427,98.7792,84,100,2.71,2022-09-18 02:04:16
286,San Patricio,US,85.95,28.017,-97.5169,71,0,9.89,2022-09-18 02:04:16
287,Biak,ID,82.53,-0.9131,122.8766,64,87,4.34,2022-09-18 02:04:16
288,Hervey Bay,AU,72.41,-25.2986,152.8535,48,0,5.68,2022-09-18 02:04:17
289,Moyo,UG,62.62,3.6609,31.7247,96,10,2.01,2022-09-18 02:04:17
290,Saint-Donat-De-Montcalm,CA,52.84,46.3187,-74.2219,76,100,2.46,2022-09-18 02:04:18
291,Coquimbo,CL,54.14,-29.9533,-71.3436,80,0,3.2,2022-09-18 02:04:18
292,Sao Joao Da Barra,BR,63.01,-21.6403,-41.0511,84,0,9.93,2022-09-18 02:04:19
293,Springfield,US,79.03,37.2153,-93.2982,67,0,12.66,2022-09-18 02:01:12
